
 Version: 2.1
 Chunks: 1
 Start: 2026-09-13 16:12:00 (UTC)
 Duration: 76 s

 Event Type                                            Count  Size (bytes)
 jdk.JavaMonitorNotify                                     0             0
 jdk.LongFlagChanged                                       0             0
 jdk.MetaspaceOOM                                          0             0
 jdk.MethodTiming                                          0             0
 jdk.MethodTrace                                           0             0
 jdk.NativeAgent                                           0             0
 jdk.NativeLibraryUnload                                   0             0
 jdk.NativeMemoryUsage                                     0             0
 jdk.NativeMemoryUsageTotal                                0             0
 jdk.NetworkUtilization                                    0             0
 jdk.ObjectAllocationInNewTLAB                             0             0
 jdk.ObjectAllocationOutsideTLAB                           0             0
 jdk.ObjectCount                                           0             0
 jdk.ObjectCountAfterGC                                    0             0
 jdk.PSHeapSummary                                         0             0
 jdk.ParallelOldGarbageCollection                          0             0
 jdk.ProcessStart                                          0             0
 jdk.PromotionFailed                                       0             0
 jdk.RedefineClasses                                       0             0
 jdk.ReservedStackActivation                               0             0
 jdk.RetransformClasses                                    0             0
 jdk.SafepointEnd                                          0             0
 jdk.SafepointLatency                                      0             0
 jdk.SafepointStateSynchronization                         0             0
 jdk.SecurityPropertyModification                          0             0
 jdk.SecurityProviderService                               0             0
 jdk.SerializationMisdeclaration                           0             0
 jdk.ShenandoahEvacuationInformation                       0             0
 jdk.ShenandoahHeapRegionInformation                       0             0
 jdk.ShenandoahHeapRegionStateChange                       0             0
 jdk.SocketRead                                            0             0
 jdk.SocketWrite                                           0             0
 jdk.StringFlagChanged                                     0             0
 jdk.SyncOnValueBasedClass                                 0             0
 jdk.SystemGC                                              0             0
 jdk.TLSHandshake                                          0             0
 jdk.ThreadSleep                                           0             0
 jdk.UnsignedIntFlagChanged                                0             0
 jdk.UnsignedLongFlagChanged                               0             0
 jdk.VirtualThreadEnd                                      0             0
 jdk.VirtualThreadPinned                                   0             0
 jdk.VirtualThreadStart                                    0             0
 jdk.VirtualThreadSubmitFailed                             0             0
 jdk.X509Certificate                                       0             0
 jdk.X509Validation                                        0             0
 jdk.ZAllocationStall                                      0             0
 jdk.ZOldGarbageCollection                                 0             0
 jdk.ZPageAllocation                                       0             0
 jdk.ZRelocationSet                                        0             0
 jdk.ZRelocationSetGroup                                   0             0
 jdk.ZStatisticsCounter                                    0             0
 jdk.ZStatisticsSampler                                    0             0
 jdk.ZThreadPhase                                          0             0
 jdk.ZUncommit                                             0             0
 jdk.ZYoungGarbageCollection                               0             0
 jdk.graal.compiler.truffle.CompilationDequeued            0             0
 jdk.graal.compiler.truffle.CompilationQueued              0             0
 jdk.graal.compiler.truffle.CompilationStarted             0             0
